symptoms0symptom,id,icd-10-name,icd-10
Depression,"[362, 366, 115, 116, 153, 11, 668, 235, 641, 562, 109, 281, 728, 561, 511, 557, 759, 602, 613, 698, 210, 297, 522, 727, 107, 61, 623, 674, 352, 5, 615, 726, 105, 69, 497, 219, 444, 779, 327, 477, 597, 259, 160, 403, 771, 242, 253, 177, 578]","Depression, unspecified",F32.A
Temper problems,"[116, 683, 641, 281, 728, 308, 2, 781, 521, 741, 65, 368, 623, 674, 352, 615, 560, 54, 647, 219, 779, 471, 659, 597, 164, 548, 676, 771, 592, 87, 253, 578]",Irritability and anger,R45.4
Poor circulation,"[627, 550, 263, 518, 632, 667, 569]","Disorder of circulatory system, unspecified",I99.9
Low back swelling,[94],"Localized swelling, mass and lump of trunk",R22.2
Bleeding or discharge from nipple,"[162, 33, 138, 640, 575, 251, 372, 765]",Nipple discharge,N64.52
Premature ejaculation,"[511, 276, 499]",Premature ejaculation,F52.4
Feet turned in,"[99, 667]","Congenital deformity of feet, unspecified",Q66.9
Change in skin mole size or color,"[660, 295, 776]","Melanocytic nevi, unspecified",D22.9
Ankle weakness,[775],Muscle weakness,M62.81
Elbow lump or mass,"[197, 172]","Localized swelling, mass and lump of upper limb",R22.3
Posture problems,[286],Abnormal posture,R29.3
Stomach bloating,"[42, 222, 608, 696, 21, 718, 491, 476, 557, 620, 439, 472, 788, 224, 669, 47, 410, 774, 655, 384, 171, 438]",Abdominal distension,R14.0
Kidney mass,"[42, 280, 310, 669, 355, 68]",Other specified disorders of kidney,N28.89
Fluid retention,"[81, 354, 376, 717, 304, 144, 17, 374, 668, 94, 342, 614, 162, 413, 639, 601, 571, 472, 518, 225, 240, 432, 673, 314, 689, 768, 84, 168, 399, 643, 188, 559, 435, 456, 468, 66, 4, 411, 734, 464, 478, 604, 309]","Edema, unspecified",R60.9
Elbow weakness,"[208, 547, 230, 635, 675, 336, 272, 377, 762, 255, 63, 700, 704, 759, 602, 691, 744, 101, 389, 323, 327, 445, 477, 213, 276, 446, 261, 544, 643, 716, 582, 82, 307, 524, 672, 232, 584, 107, 292, 452, 764, 193, 497, 625, 152, 706, 756]",Muscle weakness,M62.81
Excessive growth,"[208, 230, 336, 612, 735, 272, 377, 762, 255, 63, 254, 395, 700, 759, 760, 602, 367, 22, 196, 393, 628, 327, 477, 496, 539, 792, 568, 62, 446, 716, 672, 232, 769, 584, 68, 149, 764, 204, 625, 429, 706, 756]",Delayed/other physical development,R62.59
Ankle swelling,"[226, 18, 241, 331, 518, 420, 775, 101, 341, 772, 95, 292, 295, 244, 350, 528]",Effusion/swelling of ankle,M25.473
Back weakness,"[463, 380, 119, 537, 755, 698, 239, 582, 663, 107, 60]",Muscle weakness,M62.81
Irritable infant,"[749, 396, 598, 235, 49, 118, 453, 119, 490, 421, 108, 89, 592, 65, 233]",Fussy infant,R68.12
Pain during pregnancy,"[796, 362, 189, 702, 56, 70, 333, 170, 26, 375, 268, 328, 154, 479, 27, 356, 64, 394, 705, 205, 767, 770, 344, 739, 390, 399, 430, 487, 703, 579, 156, 519, 32, 50, 345, 449, 41, 397, 467, 90, 135, 533, 552, 631, 665, 585]",Other specified pregnancy related conditions,O26.899
Congestion in chest,"[206, 451, 225, 483, 174, 59, 507, 676, 234, 282, 514]",Other specified symptoms involving circulatory/respiratory system,R09.89
Eye burns or stings,"[334, 644, 371, 605, 275, 416, 460, 648, 200, 710, 203, 473, 117, 131, 386, 391, 166, 312, 167, 525, 403, 35, 122, 454]",Other specified disorders of eye,H57.89
"Muscle cramps, contractures, or spasms","[145, 181, 718, 697, 382, 183, 712, 72, 238, 403, 647, 438]",Cramp and spasm,R25.2
Eye strain,"[735, 337, 367, 691, 196, 689, 323, 496, 792, 568, 54, 220, 307, 292, 149, 282, 497]",Unspecified subjective visual disturbances,H53.10
Polyuria,"[331, 768, 501]",Other polyuria,R35.89
Bedwetting,"[395, 367, 496, 792, 568, 642, 149, 586]",Nocturnal enuresis,N39.44
Vaginal bleeding after menopause,[588],Postmenopausal bleeding,N95.0
Sore throat,"[106, 206, 396, 789, 598, 443, 572, 118, 423, 657, 43, 67, 237, 10, 128, 132, 133, 793, 744, 461, 746, 483, 689, 234, 610, 664, 112, 146, 23, 400, 555, 637, 228, 421, 695, 176, 713, 566, 351, 3, 259, 311, 493, 514]","Acute pharyngitis, unspecified",J02.9
Redness in ear,"[80, 498, 789, 436, 443, 237, 630, 92, 65, 146, 84, 228, 695, 753, 351, 794, 207, 532, 592, 216]",Other specified disorders of ear,H93.8
Headache,"[80, 206, 262, 302, 339, 115, 15, 396, 694, 702, 81, 270, 289, 357, 109, 301, 337, 118, 165, 383, 657, 728, 773, 561, 43, 67, 333, 450, 614, 783, 34, 12, 424, 484, 648, 670, 738, 793, 63, 382, 439, 784, 594, 277, 198, 541, 638, 661, 673, 677, 679, 781, 92, 204, 326, 123, 417, 461, 486, 752, 431, 459, 483, 678, 722, 40, 41, 61, 66, 68, 368, 610, 626, 667, 574, 146, 23, 481, 637, 264, 279, 346, 114, 174, 183, 475, 753, 780, 37, 52, 278, 176, 444, 505, 525, 672, 712, 566, 93, 239, 184, 186, 378, 510, 539, 659, 778, 790, 96, 294, 363, 158, 190, 426, 468, 540, 636, 743, 257, 311, 121, 152, 381, 514, 631, 652]","Headache, unspecified",R51.9
Underweight,"[230, 272, 762, 336, 63, 602, 292, 261, 31, 307, 323]",Underweight,R63.6
Double vision,"[271, 371, 51, 508, 275, 229, 198, 473, 25, 127, 166, 516, 716, 86, 131, 391, 312, 167, 158, 636, 607]",Diplopia,H53.2
Blood in stool,"[303, 506, 159, 557, 594, 210, 248, 107, 66, 47, 399, 410, 649, 671, 53, 191, 757, 245, 655, 175, 546, 669, 748, 767, 468, 654, 592, 325, 379, 429]",Melena/blood in stool,K92.1
Muscle stiffness or tightness,"[349, 120, 777, 687, 730, 44, 385]",Other specified disorders of muscle,M62.89
Hostile behavior,"[362, 116, 11, 109, 49, 281, 728, 641, 562, 69, 210, 297, 455, 521, 522, 741, 674, 54, 127, 481, 5, 615, 560, 219, 556, 779, 597, 160, 164, 403, 548, 771, 253, 578]",Hostility,R45.5
Excessive appetite,"[116, 221, 623, 36, 458, 501, 422, 552]",Polyphagia,R63.2
Restlessness,"[129, 301, 27, 741, 127, 352, 560, 164, 178, 403, 548, 253, 578]",Restlessness and agitation,R45.1
Nightmares,"[11, 741, 688, 597, 548, 348]",Nightmare disorder,F51.5
Loss of sensation,"[15, 321, 7, 547, 165, 550, 564, 450, 243, 258, 670, 254, 700, 759, 277, 198, 661, 679, 73, 573, 236, 722, 61, 619, 632, 574, 316, 187, 730, 256, 279, 315, 114, 183, 16, 475, 570, 95, 505, 556, 672, 603, 93, 327, 510, 690, 294, 130, 407, 426, 743, 257, 121, 172]",Anesthesia of skin,R20.0
Arm weakness,"[15, 724, 289, 354, 658, 161, 656, 235, 21, 382, 661, 194, 687, 752, 573, 238, 591]",Muscle weakness,M62.81
Muscle pain,"[488, 627, 694, 787, 763, 343, 383, 370, 511, 263, 308, 277, 432, 679, 295, 558, 329, 126, 405, 174, 31, 52, 239, 142, 565, 244, 465]","Myalgia, unspecified site",M79.10
Pulling at ears,"[498, 453, 630, 647, 466, 65, 228, 351, 592, 305, 493]","Otalgia, unspecified ear",H92.09
Regurgitation,"[506, 580, 100, 222, 527, 284, 300, 377, 620, 27, 472, 500, 704, 215, 744, 217, 604, 248, 681, 733, 329, 482, 47, 187, 410, 774, 551, 645, 742, 182, 790, 190, 786, 795, 87, 148, 429]","Vomiting/regurgitation, unspecified",R11.10
Mouth ulcer,"[598, 100, 717, 237, 133, 398, 417, 593, 545, 727, 329, 112, 400, 421, 298, 358, 287, 471, 185]",Other forms of stomatitis,K12.1
Unusual color or odor to urine,"[42, 718, 45, 273, 48, 249, 315, 501, 384, 654, 631]","Abnormal findings in urine, unspecified",R82.90
Bleeding from eye,"[285, 51, 173, 648, 131, 391, 167]",Other specified disorders of eye,H57.89
Abnormal movement of eyelid,"[289, 49, 125, 371, 51, 508, 460, 537, 296, 8, 781, 473, 25, 131, 167, 117, 659, 692, 495, 257, 454]",Other abnormalities affecting eyelid function,H02.59
Neck mass,"[428, 436, 656, 212, 537, 638, 194, 534, 640, 28, 329, 725, 192, 713, 384, 489, 540, 795, 309]","Localized swelling, mass and lump, neck",R22.1
Feeling hot,"[448, 414, 673, 98, 364, 699]",Other general symptoms and signs,R68.89
Too little hair,"[512, 406, 758, 392, 263, 387, 335, 127, 405, 503, 520, 98, 266, 361, 501, 91, 322]","Nonscarring hair loss, unspecified",L65.9
Wheezing,"[658, 113, 383, 453, 128, 132, 27, 461, 746, 483, 234, 536, 610, 59, 507, 311, 493, 514]",Wheezing,R06.2
Vulvar irritation,"[662, 763, 711, 79, 535, 32]",Other specified disorders of vulva,N90.89
Blood in urine,"[701, 324, 380, 646, 56, 332, 195, 441, 504, 715, 729, 274, 280, 320, 442, 784, 319, 136, 394, 38, 299, 169, 447, 581, 317, 68, 469, 586, 213, 191, 499, 642, 355, 102, 104, 163, 110, 96, 369, 523, 148, 465]","Hematuria, unspecified",R31.9
Bumps on penis,"[701, 749, 299, 676, 91, 583]","Disorder of penis, unspecified",N48.9
Symptoms of bladder,"[324, 646, 195, 504, 729, 500, 169, 447, 310, 317, 469, 586, 77, 102, 182, 523]","Bladder disorder, unspecified",N32.9
Symptoms of infants,"[27, 65]","Condition originating in perinatal period, unspecified",P96.9
Bleeding in mouth,"[398, 541, 400, 192, 287, 532, 538]",Other lesions of oral mucosa,K13.79
Premenstrual tension or irritability,[98],Premenstrual tension syndrome,N94.3
Lower abdominal pain,"[55, 527, 529, 682, 696, 339, 56, 526, 324, 140, 646, 79, 268, 154, 199, 715, 274, 291, 320, 356, 439, 442, 500, 64, 22, 394, 530, 163, 496, 653, 748, 767, 53, 213, 404, 739, 595, 388, 430, 487, 671, 77, 156, 519, 655, 41, 110, 32, 609, 38, 60, 217, 269, 299, 326, 581, 74, 325]","Lower abdominal pain, unspecified",R10.30
Hurts to breath,"[81, 347, 789, 332, 453, 128, 424, 451, 571, 709, 215, 231, 677, 151, 175, 621, 256, 685, 252, 536, 507, 554]",Chest pain on breathing,R07.1
Hand or finger pain,"[226, 627, 611, 161, 564, 258, 738, 492, 700, 198, 543, 661, 678, 785, 462, 260, 408, 707, 126, 298, 505, 29, 149, 686, 407, 513, 554, 584, 497, 350, 172]",Pain in unspecified hand,M79.643
Skin lesion,"[270, 708, 717, 563, 553, 627, 693, 265, 392, 165, 639, 758, 227, 133, 490, 535, 633, 754, 602, 231, 240, 143, 660, 9, 485, 545, 462, 510, 16, 780, 567, 112, 335, 388, 427, 361, 373, 650, 667, 725, 190, 456, 740, 584, 60, 193, 464, 534, 590, 593, 88, 91, 330, 756, 583, 596]","Disorder of skin, unspecified",L98.9
Plugged feeling in ear,"[270, 436, 443, 80, 302, 498, 34, 351, 228, 114, 192, 695, 261, 637, 566, 207, 216, 305, 680]",Other specified disorders of ear,H93.8
Fatigue,"[289, 357, 147, 7, 796, 153, 189, 488, 342, 170, 343, 1, 375, 383, 491, 561, 601, 328, 12, 424, 511, 537, 697, 414, 492, 515, 704, 425, 432, 613, 48, 283, 459, 558, 651, 211, 510, 539, 720, 770, 264, 344, 191, 24, 542, 47, 187, 390, 579, 52, 245, 278, 505, 551, 617, 645, 559, 61, 68, 71, 368, 4, 457, 536, 574, 50, 96, 259, 345, 14, 554, 282, 397, 412, 467, 90, 242, 322, 348, 135, 465, 533, 622, 665]",Other fatigue,R53.83
Lower body pain,"[321, 262, 303, 553, 94, 718, 324, 639, 620, 670, 277, 723, 236, 182, 418, 546, 315, 475, 570, 57, 433, 649, 246, 617, 742, 603, 40, 252, 686, 72, 238, 565, 46, 295, 573, 581, 751]","Pain, unspecified",R52
Shoulder stiffness or tightness,"[354, 428, 763, 782, 155, 787, 223, 39, 401, 103, 238, 385]",Stiffness of unspecified shoulder,M25.619
Mass on ear,"[354, 693, 207]","Localized swelling, mass and lump, head",R22.0
Insomnia,"[147, 7, 527, 115, 116, 237, 450, 641, 281, 728, 561, 243, 670, 704, 240, 2, 425, 613, 297, 455, 521, 741, 352, 615, 726, 36, 643, 779, 61, 368, 4, 623, 674, 105, 69, 746]","Insomnia, unspecified",G47.00
Skin on leg or foot looks infected,"[19, 708, 550, 214, 359, 318, 518, 83, 485, 785, 58, 434, 437, 462, 503, 719, 411, 599, 480, 590, 309]",Local infection of skin and subcutaneous tissue,L08.9
Throat feels tight,"[436, 106, 129, 144, 488, 338, 537, 215, 589, 186, 794, 192, 127, 246, 28, 795, 87]",Foreign body sensation in throat,R09.A2
Recent pregnancy,"[512, 70, 359, 767, 487, 4, 411, 452, 740, 575]","Pregnant state, incidental",Z33.1
"Skin dryness, peeling, scaliness, or roughness","[708, 563, 587, 693, 737, 288, 415, 711, 758, 227, 451, 791, 633, 754, 83, 143, 660, 776, 503, 520, 567, 97, 335, 427, 361, 188, 373, 650, 599, 590, 593, 91, 309, 330, 629, 583, 596]",Xerosis cutis,L85.3
Pain or soreness of breast,"[796, 189, 580, 170, 714, 375, 328, 479, 291, 761, 205, 770, 256, 344, 346, 719, 390, 579, 77, 372, 617, 603, 138, 50, 345, 397, 464, 467, 640, 90, 135, 533, 665, 684, 765]",Mastodynia,N64.4
Neck stiffness or tightness,"[365, 450, 301, 34, 541, 39, 624, 232, 363, 495]",Torticollis,M43.6
Back cramps or spasms,"[365, 451, 180, 134, 394, 218, 315, 570, 72, 565]",Muscle spasm of back,M62.830
Low self-esteem,"[641, 788, 2, 698, 210, 521, 741, 182, 352, 615, 219, 779, 623, 160, 548, 771, 216, 253]",Low self-esteem,R45.81
Pus in urine,"[275, 698, 14, 60]",Pyuria,R82.81
Diaper rash,"[119, 9, 117, 421, 503, 666, 650, 124, 629]",Diaper dermatitis,L22
Problems with orgasm,[511],Female orgasmic disorder,F52.31
Pelvic pressure,"[395, 760, 367, 102, 496, 792, 568, 703, 149, 552, 631]",Pelvic and perineal pain,R10.2
Breathing fast,"[294, 105]",Tachypnea,R06.82
Decreased appetite,"[42, 222, 696, 683, 598, 118, 140, 453, 237, 21, 614, 783, 484, 45, 472, 240, 319, 466, 768, 65, 66, 36, 290, 618, 716, 24, 224, 117, 142, 471, 510, 748, 384, 407, 468, 795, 202, 242]",Anorexia,R63.0
Shortness of breath,"[55, 81, 289, 512, 608, 362, 115, 396, 488, 694, 383, 453, 773, 561, 43, 342, 10, 255, 132, 451, 670, 33, 63, 250, 331, 139, 414, 709, 231, 273, 134, 425, 673, 677, 48, 393, 483, 651, 727, 576, 71, 234, 252, 368, 4, 610, 664, 105, 204, 286, 123, 746, 47, 618, 637, 62, 84, 256, 685, 663, 224, 151, 418, 720, 59, 14, 426, 435, 554, 654, 242, 247, 311, 348, 493, 517, 751]",Shortness of breath,R06.02
Dizziness,"[81, 100, 270, 289, 7, 436, 512, 80, 271, 349, 129, 488, 506, 702, 724, 26, 49, 300, 140, 1, 773, 561, 564, 43, 365, 450, 614, 34, 484, 670, 293, 20, 414, 784, 613, 679, 48, 283, 13, 455, 651, 722, 452, 457, 619, 105, 123, 402, 461, 486, 746, 604, 261, 290, 316, 730, 84, 695, 726, 37, 355, 364, 156, 444, 524, 556, 617, 93, 211, 360, 510, 549, 690, 720, 96, 201, 232, 294, 124, 190, 14, 426, 449, 743, 591, 202, 216, 242, 247, 348, 177, 517, 607, 706, 751]",Dizziness and giddiness,R42
Joint pain,"[100, 226, 321, 7, 448, 343, 258, 409, 432, 723, 387, 157, 667, 171, 193, 412, 647, 126, 405, 410, 427, 433, 750, 44, 502, 82, 505, 731, 471, 772, 201, 190, 513, 554, 786, 244, 350, 172, 438, 465]",Pain in unspecified joint,M25.50
Swollen tongue,"[270, 304, 598, 793, 647, 218, 364, 471]",Other diseases of tongue,K14.8
Focal weakness,"[289, 349, 15, 137, 21, 370, 562, 557, 670, 20, 283, 455, 169, 402, 316, 405, 730, 44, 588, 37, 364, 621, 745, 259, 384, 743]",Weakness,R53.1
Neck swelling,"[354, 374, 656, 508, 537, 83, 689, 28, 194, 480, 127, 95, 340, 713, 287, 186, 178, 540, 699]","Localized swelling, mass and lump, neck",R22.1
Ear pain,"[436, 206, 302, 118, 67, 630, 783, 34, 128, 760, 541, 589, 431, 689, 28, 65, 610, 417, 261, 146, 23, 400, 555, 637, 114, 278, 358, 176, 713, 186, 539, 232, 178, 540, 216, 305, 514]","Otalgia, unspecified ear",H92.09
Heavy menstrual flow,"[463, 512, 662, 682, 339, 506, 406, 370, 470, 359, 154, 75, 6, 269, 404, 739, 98, 245, 767, 435, 609, 74, 322]",Excessive/frequent menstruation,N92.0
Skin pain,"[717, 693, 485, 434, 437, 740]",Other disturbances of skin sensation,R20.8
Mass in scrotum,"[749, 526, 320, 310, 299, 581, 544, 595, 108, 551, 546]",Other specified disorders of male genital organs,N50.89
Warts,"[749, 563, 737, 415, 758, 265, 288, 392, 227, 791, 633, 660, 781, 92, 299, 464, 640, 520, 567, 98, 776, 422, 489, 322, 583, 596]","Viral wart, unspecified",B07.9
Excessive anger,"[796, 116, 189, 11, 281, 375, 728, 70, 170, 641, 328, 479, 2, 677, 698, 781, 210, 297, 521, 522, 741, 623, 674, 69, 397, 467, 36, 390, 579, 344, 352, 5, 615, 560, 219, 551, 779, 205, 175, 659, 770, 597, 50, 345, 160, 548, 771, 90, 253, 135, 533, 665, 578]",Irritability and anger,R45.4
Skin on arm or hand looks infected,"[587, 553, 787, 766, 214, 509, 83, 240, 136, 785, 411, 599, 707, 184, 385]",Local infection of skin and subcutaneous tissue,L08.9
Irregular heartbeat,"[115, 508, 424, 697, 33, 308, 134, 651, 71, 252, 457, 105, 516, 542, 246, 617, 211, 418, 621, 720, 294, 14, 247, 348, 381, 465, 517, 622, 751]",Palpitations,R00.2
Nailbiting,"[635, 675, 377, 762, 336, 735, 255, 254, 759, 691, 744, 196, 389, 393, 628, 689, 452, 619, 721, 599, 282, 497, 220, 261, 446, 82, 307, 524, 672, 445, 477, 792, 568, 769]",Other specified behavioral disorders,F98.8
Loss of sex drive,"[470, 735, 511, 395, 754, 760, 367, 2, 393, 628, 149, 626, 499, 251, 551, 496, 792, 568, 769]",Decreased libido,R68.82
Throat irritation,"[338, 210, 752, 765]",Other diseases of pharynx,J39.2
Pallor,"[120, 576, 44, 621]",Pallor,R23.1
Itching of scrotum,"[389, 452, 732, 445, 158]",Pruritus scroti,L29.1
Hand or finger lump or mass,"[209, 725, 599, 388, 750, 44, 408]","Localized swelling, mass and lump of upper limb",R22.3
Early or late onset of menopause,"[104, 438]",Menopausal and female climacteric states,N95.1
Groin mass,"[42, 55, 553, 370, 165, 320, 472, 310, 329, 542, 642, 595, 217, 534, 77, 776, 489]",Other intra-abdominal/pelvic swelling or mass,R19.09
Rib pain,"[81, 262, 271, 145, 43, 332, 343, 709, 215, 723, 256, 685, 478]",Pleurodynia/rib pain,R07.81
Pain in eye,"[285, 717, 796, 572, 644, 51, 125, 162, 371, 383, 605, 275, 12, 416, 479, 229, 710, 755, 76, 296, 8, 473, 722, 25, 78, 86, 131, 391, 780, 146, 166, 390, 516, 555, 35, 73, 604, 312, 340, 167, 444, 205, 692, 158, 495, 532, 636, 786, 257, 122, 152, 454, 665]","Ocular pain, unspecified eye",H57.10
Leg swelling,"[19, 376, 547, 577, 181, 18, 241, 413, 30, 571, 318, 180, 518, 225, 240, 420, 223, 341, 157, 4, 411, 632, 408, 719, 405, 46, 193, 82, 617, 58, 104, 462, 456, 489, 584, 309, 350]",Other specified soft tissue disorders,M79.89
Wrist pain,"[428, 796, 262, 155, 189, 17, 235, 170, 18, 611, 161, 375, 328, 479, 738, 543, 678, 44, 344, 408, 390, 579, 193, 397, 467, 497, 245, 731, 111, 205, 770, 50, 103, 345, 513, 90, 350, 135, 172, 385, 533, 665]",Pain in unspecified wrist,M25.539
Itchy ear(s),"[436, 443, 34, 329]","Pruritus, unspecified",L29.9
Diminished hearing,"[443, 634, 106, 80, 302, 498, 630, 606, 34, 338, 537, 20, 136, 541, 393, 107, 228, 114, 695, 146, 478, 604, 340, 351, 794, 207, 124, 489, 305, 381, 706]","Hearing loss, unspecified",H91.90
Facial pain,"[443, 634, 796, 80, 206, 271, 302, 189, 374, 67, 170, 606, 49, 375, 383, 564, 328, 479, 648, 20, 398, 492, 541, 638, 283, 28, 344, 192, 753, 780, 112, 390, 400, 579, 397, 417, 467, 480, 340, 358, 176, 713, 566, 205, 770, 50, 345, 178, 538, 90, 257, 121, 135, 533, 607, 665, 680]",Headache/facial pain,R51.9
Back stiffness or tightness,"[448, 658, 570, 385]",Stiffness of other specified joint,M25.69
Penile discharge,"[701, 441, 310, 9, 676]","Urethral discharge, unspecified",R36.9
Foot or toe pain,"[708, 563, 675, 724, 611, 550, 492, 784, 602, 83, 775, 341, 459, 678, 29, 292, 632, 599, 260, 279, 346, 408, 503, 306, 388, 193, 480, 95, 298, 58, 462, 772, 513, 569, 88]",Pain in unspecified foot,M79.673
Allergic reaction,"[717, 302, 304, 668, 789, 423, 781, 589, 431, 276, 695, 753, 316, 23, 286, 123, 171, 464, 89, 364, 188, 645, 650, 712, 566, 239, 794, 59, 207, 259, 305, 122, 596]","Allergy, unspecified",T78.40XA
Bowlegged or knock-kneed,"[782, 377, 29, 764, 756]",Other specified acquired deformities of lower leg,M21.869
Symptoms of the kidneys,"[230, 144, 145, 181, 324, 120, 620, 280, 331, 472, 788, 273, 319, 267, 329, 642, 47, 282, 478, 355, 175, 501, 369, 699, 569, 148, 465]","Disorder of kidney, unspecified",N28.9
Pus draining from ear,"[498, 78, 108, 207, 495]","Otorrhea, unspecified ear",H92.10
Tongue pain,"[598, 398, 722, 192]",Glossodynia,K14.6
Mass or swelling around the anus,"[94, 639, 757, 649, 750, 546]",Other specified diseases of anus and rectum,K62.89
Cloudy eye,"[333, 473, 167, 525]","Disorder of eye, unspecified",H57.9
Suprapubic pain,"[195, 324, 377, 380, 646, 79, 441, 504, 715, 274, 280, 500, 249, 317, 196, 9, 107, 586, 213, 404, 666, 430, 618, 38, 169, 447, 98, 102, 163, 653, 110, 32, 523, 740, 585]",Pelvic and perineal pain,R10.2
Sore in nose,"[606, 545]",Other specified disorders of nose and nasal sinuses,J34.89
Feeling cold,"[263, 331, 273, 198, 168, 35, 501, 569]",Other general symptoms and signs,R68.89
Dry lips,"[398, 112, 647, 538, 680]",Diseases of lips,K13.0
Jaw pain,"[638, 146]",Jaw pain,R68.84
Hesitancy,"[469, 586, 169]",Hesitancy of micturition,R39.11
Eyelid retracted,[164],"Eyelid retraction, unspecified eye",H02.539
Back swelling,[765],"Localized swelling, mass and lump of trunk",R22.2
Chills,"[100, 696, 353, 1, 657, 601, 365, 783, 132, 45, 442, 760, 240, 136, 558, 66, 619, 618, 671, 53, 269, 575, 505, 617, 186, 124, 468, 507, 554, 177, 514]",Chills without fever,R68.83
Constipation,"[208, 222, 527, 303, 694, 491, 212, 195, 439, 744, 248, 482, 187, 649, 671, 53, 213, 421, 89, 98, 645, 663, 559, 546, 130, 164, 242, 325, 148, 379, 429]","Constipation, unspecified",K59.00
Bones are painful,"[226, 354, 763, 262, 94, 714, 258, 180, 700, 777, 387, 785, 29, 405, 502, 295, 194, 534, 687, 575, 151, 745, 776, 238, 532, 385, 438, 765]","Disorder of bone, unspecified",M89.8X9
Pelvic pain,"[226, 463, 494, 529, 682, 339, 26, 406, 646, 711, 94, 370, 470, 79, 154, 199, 441, 504, 535, 75, 274, 291, 356, 141, 64, 6, 317, 387, 530, 761, 40, 41, 388, 430, 433, 643, 404, 666, 739, 588, 60, 687, 77, 156, 373, 519, 102, 653, 32, 449, 609, 740, 74, 585]",Pelvic and perineal pain,R10.2
Skin irritation,"[270, 448, 708, 587, 737, 415, 288, 392, 227, 338, 738, 791, 754, 83, 143, 660, 503, 719, 567, 480, 298, 188, 372, 373, 650, 471, 178, 532, 596]",Other skin changes,R23.8
Symptoms of eye,"[285, 572, 334, 627, 635, 644, 125, 51, 333, 34, 173, 12, 416, 460, 648, 229, 200, 633, 710, 755, 76, 99, 203, 296, 8, 432, 473, 25, 626, 166, 516, 555, 78, 86, 131, 386, 391, 35, 312, 340, 167, 525, 117, 659, 690, 692, 190, 121, 122, 152, 454, 680]","Disorder of eye, unspecified",H57.9
Knee stiffness or tightness,"[159, 18, 718, 30, 409, 101, 314, 341, 157, 502, 266, 616]",Stiffness of unspecified knee,M25.669
Disturbance of memory,"[7, 271, 349, 144, 724, 49, 301, 137, 21, 450, 243, 20, 784, 2, 679, 698, 297, 387, 521, 558, 368, 667, 481, 174, 73, 37, 266, 93, 239, 549, 690, 778, 96, 201, 743, 438, 680]",Other amnesia,R41.3
Nasal congestion,"[436, 572, 106, 80, 206, 396, 498, 683, 694, 789, 113, 453, 657, 762, 605, 43, 67, 265, 630, 783, 128, 132, 395, 225, 198, 589, 431, 466, 483, 545, 65, 234, 610, 146, 555, 637, 84, 228, 421, 695, 461, 746, 89, 278, 713, 732, 351, 117, 794, 59, 207, 592, 305, 311, 122, 493, 514]",Nasal congestion,R09.81
Hot flashes,"[448, 162, 406, 370, 606, 263, 139, 141, 777, 6, 317, 138, 626, 127, 168, 404, 588, 269, 194, 604, 266, 110, 751, 765]",Flushing,R23.2
Emotional symptoms,"[547, 1, 377, 380, 762, 336, 255, 119, 557, 293, 755, 22, 691, 389, 761, 107, 292, 764, 54, 261, 643, 62, 446, 60, 299, 82, 307, 524, 732, 239, 445, 232, 152, 429, 706, 756]",Other symptoms involving emotional state,R45.89
Jaundice,"[608, 662, 153, 491, 119, 45, 48, 249, 625, 108, 31, 654, 795]",Unspecified jaundice,R17
Drug abuse,"[634, 782, 145, 668, 109, 281, 728, 70, 342, 641, 788, 677, 781, 297, 521, 674, 276, 313, 615, 685, 69, 779, 239, 327, 160, 591, 253]","Other psychoactive substance abuse, uncomplicated",F19.10
Knee lump or mass,"[658, 796, 189, 375, 170, 612, 735, 328, 479, 254, 395, 760, 367, 101, 196, 393, 628, 29, 149, 390, 579, 344, 408, 397, 467, 205, 496, 539, 770, 792, 568, 50, 345, 769, 90, 135, 533, 616, 665, 583]","Localized swelling, mass and lump of lower limb",R22.4
Hand or finger stiffness or tightness,"[763, 580, 161, 766, 509, 788, 209, 306, 405, 44, 179, 169, 687, 95, 731, 111, 39, 458, 172, 385]",Stiffness of unspecified hand,M25.649
Swollen lymph nodes,"[587, 580, 656, 237, 414, 689, 25, 28, 417, 278, 531, 713, 186, 748, 540]","Enlarged lymph nodes, unspecified",R59.9
Drainage in throat,"[129, 789, 243, 451, 709, 319, 387, 667, 127, 24, 446, 642, 685, 757, 204, 233, 461, 752, 142, 794, 96, 348]",Postnasal drip,R09.82
Flu-like syndrome,"[144, 153, 498, 657, 466, 689, 66, 480, 514]",Other general symptoms and signs,R68.89
Tongue lesions,"[144, 598, 237, 370, 793, 400, 218, 191, 192, 421, 726, 39]",Other diseases of tongue,K14.8
Excessive urination at night,"[189, 375, 170, 195, 328, 729, 320, 310, 317, 469, 586, 579, 344, 179, 499, 642, 169, 397, 447, 467, 551, 102, 770, 50, 345, 523, 90, 135, 438, 465, 533, 622]",Nocturia,R35.1
Cross-eyed,"[635, 337, 377, 423, 229, 22, 691, 196, 25, 764, 220, 62, 446, 458, 477, 495, 429, 756]","Strabismus, unspecified",H50.9
Disturbance of smell or taste,"[241, 562, 455, 753, 434]","Disturbance of smell and taste, unspecified",R43.9
Sneezing,"[113, 265, 359, 23, 637, 188, 287, 122]",Sneezing,R06.7
Hand or finger cramps or spasms,"[550, 385, 465]",Cramp and spasm,R25.2
Skin on head or neck looks infected,"[545, 480]",Local infection of skin and subcutaneous tissue,L08.9
